,Video_id,Video_Channel_title,Stats_Comment,Stats_Fav,Stats_Like,Stats_view
14,uveXyo9VBSE,Technical Guruji,847,0,9732,94253
15,VbUDHGJyggw,Technical Guruji,825,0,13548,149063
16,Y5fSYHxAhGc,Technical Guruji,955,0,9683,104487
17,bQDISBWB3v4,Technical Guruji,914,0,14475,161272
18,WD9WjPozEws,Technical Guruji,1015,0,9962,104971
19,iM8et_05cAw,Technical Guruji,7681,0,38401,302907
20,OsNaAtvZ4-s,Technical Guruji,1232,0,12102,112341
21,HkU5HFvnn8o,Technical Guruji,1495,0,22979,309291
22,sZ1NQtS0gXI,Technical Guruji,982,0,9284,98540
23,S29DCoXBdEk,Technical Guruji,1182,0,22695,400658
24,y4LIxz7pSMY,Technical Guruji,900,0,10088,114898
25,nlb-EvVyrT4,Technical Guruji,1294,0,22217,337055
26,yws59S5Ah3o,Technical Guruji,819,0,5000,53464
27,302HWGccqLk,Technical Guruji,864,0,9293,101734
28,qgCNbBJ39Wk,Technical Guruji,1130,0,19828,291322
29,rdVPMSGHdWA,Technical Guruji,919,0,7986,82186
30,iZdFXs8nrdU,Technical Guruji,1354,0,46340,1400880
31,jaLuUVZ0aVo,Technical Guruji,1003,0,11266,114380
32,o2XJgoivPN8,Technical Guruji,1520,0,30428,422914
33,HFRyL3qFHiU,Technical Guruji,961,0,9959,101291
34,LejxE17khtE,Technical Guruji,1836,0,39649,735330
35,KCzzvSoz1XQ,Technical Guruji,666,0,9099,97255
36,VvBPi677MLs,Technical Guruji,4568,0,68782,1116192
37,IHdJEMoC_Qg,Technical Guruji,822,0,9449,106057
38,9gZ3iIUgkhM,Technical Guruji,1777,0,14696,123934
39,-Td2E6PREpw,Technical Guruji,991,0,5780,60590
40,DkCBOICiNKA,Technical Guruji,1167,0,9389,98007
41,ynG09cPfxBQ,Technical Guruji,1613,0,30927,553258
42,MMQKyZFdq18,Technical Guruji,1083,0,10382,121017
43,U83VVOvwSAk,Technical Guruji,4923,0,163738,2911628
44,Sw1396ZNVYw,Technical Guruji,1125,0,8650,88667
45,uMIcRswRKO8,Technical Guruji,1053,0,15137,147641
46,NP0xDxTEJpM,Technical Guruji,841,0,8068,81155
47,lIEaGF7XvEY,Technical Guruji,1065,0,9699,94268
48,O8pJhfnlorA,Technical Guruji,1000,0,10597,110713
49,YUX3wbRgZOw,Technical Guruji,4038,0,25017,177679
0,N_8lYsAtxhE,Technical Guruji,908,0,7961,77616
1,EECesAH8CZw,Technical Guruji,1667,0,19490,388481
2,HVocsNiMsIY,Technical Guruji,1637,0,5999,52579
3,d2uRtgyngZU,Technical Guruji,1401,0,10437,121835
4,3vA8dtAuhWI,Technical Guruji,1597,0,24305,337032
5,7Vj3900pnmE,Technical Guruji,1298,0,10367,107846
6,bta5W9Q_UYo,Technical Guruji,1831,0,29428,455449
7,cqezBflt1xM,Technical Guruji,1155,0,10748,119512
8,ePTcgFAi3wE,Technical Guruji,1608,0,33664,693356
